Subject,Start Date,End Date,Description
Lançamento de Frequencia de JANEIRO,16/01/2020, 20/01/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de FEVEREIRO,12/02/2020, 14/02/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de MARÇO,13/03/2020, 17/03/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de ABRIL,14/04/2020, 16/04/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de MAIO,14/05/2020, 18/05/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de JUNHO,15/06/2020, 17/06/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de JULHO,16/07/2020, 20/07/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de AGOSTO,14/08/2020, 18/08/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de SETEMBRO,15/09/2020, 17/09/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de OUTUBRO,13/10/2020, 19/10/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de NOVEMBRO,6 /11/2020,10 /11/2020,Periodo para lancamento de frequencia no SIGA
Lançamento de Frequencia de DEZEMBRO,A /12/2020,FIN/12/2020,Periodo para lancamento de frequencia no SIGA
